Abkhazia   Sukhumi
Afghanistan   Kabul
Akrotiri-and-Dhekelia   Episkopi-Cantonment
Albania   Tirana
Algeria   Algiers
American-Samoa   PagoPago
Andorra   Andorra-la-Vella
Angola   Luanda
Anguilla   The-Valley
Antigua-and-Barbuda   St.John's
Argentina   Buenos-Aires
Armenia   Yerevan
Aruba   Oranjestad
Ascension-Island   Georgetown
Australia   Canberra
Austria   Vienna
Azerbaijan   Baku
Bahamas   Nassau
Bahrain   Manama
Bangladesh   Dhaka
Barbados   Bridgetown
Belarus   Minsk
Belgium   Brussels
Belize   Belmopan
Benin   Porto-Novo
Bermuda   Hamilton
Bhutan   Thimphu
Bolivia   Sucre
Bolivia   La-Paz
Bosnia-and-Herzegovina   Sarajevo
Botswana   Gaborone
Brazil   Brasília
British-Virgin-Islands   RoadTown
Brunei   Bandar-Seri-Begawan
Bulgaria   Sofia
BurkinaFaso   Ouagadougou
Burundi   Bujumbura
Cambodia   PhnomPenh
Cameroon   Yaoundé
Canada   Ottawa
CapeVerde   Praia
CaymanIslands   GeorgeTown
CentralAfricanRepublic   Bangui
Chad   N'Djamena
Chile   Santiago
China   Beijing
ChristmasIsland   FlyingFishCove
CocosIslands   WestIsland
Colombia   Bogotá
Comoros   Moroni
CookIslands   Avarua
CostaRica   SanJosé
Croatia   Zagreb
Cuba   Havana
Curaçao   Willemstad
Cyprus   Nicosia
Czech-Republic   Prague
Côted'Ivoire   Yamoussoukro
Democratic-Republic-Of-Congo   Kinshasa
Denmark   Copenhagen
Djibouti   Djibouti
Dominica   Roseau
Dominican-Republic   Santo-Domingo
EastTimor    Dili
Easter-Island   Hanga-Roa
Ecuador   Quito
Egypt   Cairo
El-Salvador   San-alvador
Equatorial-Guinea   Malabo
Eritrea   Asmara
Estonia   Tallinn
Ethiopia   Addis-Ababa
Falkland-Islands   Stanley
Faroe-Islands   Tórshavn
Federated-States-of-Micronesia   Palikir
Fiji   Suva
Finland   Helsinki
France   Paris
FrenchGuiana   Cayenne
FrenchPolynesia   Papeete
Gabon   Libreville
Gambia   Banjul
Georgia   Tbilisi
Germany   Berlin
Ghana   Accra
Gibraltar   Gibraltar
Greece   Athens
Greenland   Nuuk
Grenada   St.George's
Guam   Hagåtña
Guatemala   Guatemala-City
Guernsey   St.Peter-Port
Guinea   Conakry
Guinea-Bissau   Bissau
Guyana   Georgetown
Haiti   Port-au-Prince
Honduras   Tegucigalpa
Hungary   Budapest
Iceland   Reykjavík
India   NewDelhi
Indonesia   Jakarta
Iran   Tehran
Iraq   Baghdad
Ireland   Dublin
IsleofMan   Douglas
Israel   Jerusalem
Italy   Rome
Jamaica   Kingston
Japan   Tokyo
Jersey   St.Helier
Jordan   Amman
Kazakhstan   Astana
Kenya   Nairobi
Kiribati   Tarawa
Kosovo   Pristina
Kuwait   KuwaitCity
Kyrgyzstan   Bishkek
Laos   Vientiane
Latvia   Riga
Lebanon   Beirut
Lesotho   Maseru
Liberia   Monrovia
Libya   Tripoli
Liechtenstein   Vaduz
Lithuania   Vilnius
Luxembourg   Luxembourg
North-Macedonia   Skopje
Madagascar   Antananarivo
Malawi   Lilongwe
Malaysia   KualaLumpur
Maldives   Malé
Mali   Bamako
Malta   Valletta
Marshall-Islands   Majuro
Mauritania   Nouakchott
Mauritius   Port-Louis
Mexico   MexicoCity
Moldova   Chisinau
Monaco   Monaco
Mongolia   Ulaanbaatar
Montenegro   Podgorica
Montserrat   Plymouth
Morocco   Rabat
Mozambique   Maputo
Myanmar   Naypyidaw
Nagorno-KarabakhRepublic   Stepanakert
Namibia   Windhoek
Nauru   Yaren
Nepal   Kathmandu
Netherlands   Amsterdam
NewCaledonia   Nouméa
NewZealand   Wellington
Nicaragua   Managua
Niger   Niamey
Nigeria   Abuja
Niue   Alofi
Norfolk-Island   Kingston
North-Korea   Pyongyang
Repubic-Of-Cyprus   Nicosia
Northern-Ireland   Belfast
Northern-Mariana-Islands   Saipan
Norway   Oslo
Oman   Muscat
Pakistan   Islamabad
Palau   Ngerulmud
Palestine   Jerusalem
Panama   Panama-City
Papua-New-Guinea   Port-Moresby
Paraguay   Asunción
Peru   Lima
Philippines   Manila
Pitcairn-Islands   Adamstown
Poland   Warsaw
Portugal   Lisbon
Puerto-Rico   San-Juan
Qatar   Doha
Taiwan   Taipei
Republic-Of-Congo   Brazzaville
Romania   Bucharest
Russia   Moscow
Rwanda   Kigali
Saint-Barthélemy   Gustavia
Saint-Helena   Jamestown
Saint-Kitts-And-Nevis   Basseterre
Saint-Lucia   Castries
Saint-Martin   Marigot
Saint-Pierre-And-Miquelon   St.Pierre
Saint-Vincent-And-Grenadines   Kingstown
Samoa   Apia
San-Marino   San-Marino
Saudi-Arabia   Riyadh
Scotland   Edinburgh
Senegal   Dakar
Serbia   Belgrade
Seychelles   Victoria
SierraLeone   Freetown
Singapore   Singapore
Sint-Maarten   Philipsburg
Slovakia   Bratislava
Slovenia   Ljubljana
Solomon-Islands   Honiara
Somalia   Mogadishu
Somaliland   Hargeisa
SouthAfrica   Pretoria
South-Georgia-AndS-outh-Sandwich-Islands   Grytviken
South-Korea   Seoul
South-Ossetia   Tskhinvali
South-Sudan   Juba
Spain   Madrid
SriLanka   Sri-Jayawardenapura-Kotte
Sudan   Khartoum
Suriname   Paramaribo
Swaziland   Mbabane
Sweden   Stockholm
Switzerland   Bern
Syria   Damascus
SãoTomé-and-Príncipe   SãoTomé
Tajikistan   Dushanbe
Tanzania   Dodoma
Thailand   Bangkok
Togo   Lomé
Tonga   Nukuʻalofa
Transnistria   Tiraspol
Trinidad-and-Tobago   Port-of-Spain
Trist-and-aCunha   Edinburgh-of-the-Seven-Seas
Tunisia   Tunis
Turkey   Ankara
Turkmenistan   Ashgabat
Turksand-Caicos-Islands   Cockburn-Town
Tuvalu   Funafuti
Uganda   Kampala
Ukraine   Kyiv
UnitedA-rab-Mirates   AbuDhabi
United-Kingdom  London
United-States   Washington-D.C.
United-States-Virgin-Islands   Charlotte-Amalie
Uruguay   Montevideo
Uzbekistan   Tashkent
Vanuatu   PortVila
Vatican-City   Vatican-City
Venezuela   Caracas
Vietnam   Hanoi
Wales   Cardiff
Wallis-and-Futuna   Mata-Utu
Western-Sahara   ElAaiún
Yemen   Sanaá
Zambia   Lusaka
Zimbabwe   Harare
